trial_indices,leftP,rightP,choices,rewarded
0,0.85,0.05,0,1
1,0.85,0.05,0,1
2,0.85,0.05,1,0
3,0.85,0.05,0,1
4,0.85,0.05,0,0
5,0.85,0.05,0,0
6,0.85,0.05,0,1
7,0.85,0.05,0,0
8,0.85,0.05,0,1
9,0.85,0.05,0,1
10,0.85,0.05,0,1
11,0.85,0.05,0,1
12,0.85,0.05,0,1
13,0.85,0.05,0,1
14,0.85,0.05,0,1
15,0.85,0.05,0,1
16,0.85,0.05,0,1
17,0.85,0.05,0,1
18,0.85,0.05,0,1
19,0.85,0.05,0,1
20,0.85,0.05,0,1
21,0.85,0.05,0,1
22,0.85,0.05,0,1
23,0.85,0.05,0,1
24,0.85,0.05,0,1
25,0.85,0.05,0,1
26,0.85,0.05,0,1
27,0.85,0.05,0,1
28,0.85,0.05,0,1
29,0.85,0.05,0,0
30,0.85,0.05,0,0
31,0.85,0.05,0,1
32,0.85,0.05,0,1
33,0.85,0.05,0,1
34,0.85,0.05,0,1
35,0.85,0.05,0,1
36,0.85,0.05,0,0
37,0.85,0.05,0,1
38,0.85,0.05,0,1
39,0.85,0.05,0,1
40,0.85,0.05,0,1
41,0.85,0.05,0,0
42,0.85,0.05,0,1
43,0.85,0.05,0,1
44,0.85,0.05,0,1
45,0.85,0.05,0,1
46,0.85,0.05,0,1
47,0.85,0.05,0,0
48,0.85,0.05,0,1
49,0.85,0.05,0,1
50,0.85,0.05,0,1
51,0.85,0.05,0,1
52,0.85,0.05,0,1
53,0.85,0.05,0,1
54,0.85,0.05,0,1
55,0.85,0.05,0,1
56,0.85,0.05,0,1
57,0.85,0.05,0,0
58,0.85,0.05,0,1
59,0.85,0.05,0,1
60,0.85,0.05,0,1
61,0.85,0.05,0,1
62,0.85,0.05,0,1
63,0.85,0.05,0,0
64,0.85,0.05,0,1
65,0.85,0.05,0,1
66,0.85,0.05,0,1
67,0.85,0.05,0,1
68,0.85,0.05,0,0
69,0.85,0.05,0,1
70,0.85,0.05,0,1
71,0.85,0.05,0,1
72,0.85,0.05,0,1
73,0.85,0.05,0,1
74,0.85,0.05,0,1
75,0.05,0.9,0,0
76,0.05,0.9,0,0
77,0.05,0.9,0,0
78,0.05,0.9,0,0
79,0.05,0.9,0,0
80,0.05,0.9,0,0
81,0.05,0.9,0,0
82,0.05,0.9,0,0
83,0.05,0.9,0,0
84,0.05,0.9,0,0
85,0.05,0.9,0,0
86,0.05,0.9,0,1
87,0.05,0.9,0,0
88,0.05,0.9,0,0
89,0.05,0.9,0,0
90,0.05,0.9,0,0
91,0.05,0.9,0,0
92,0.05,0.9,0,0
93,0.05,0.9,0,0
94,0.05,0.9,0,0
95,0.05,0.9,0,1
96,0.05,0.9,0,0
97,0.05,0.9,0,0
98,0.05,0.9,0,0
99,0.05,0.9,0,0
100,0.05,0.9,0,0
101,0.05,0.9,0,0
102,0.05,0.9,0,0
103,0.05,0.9,0,0
104,0.05,0.9,0,0
105,0.05,0.9,0,0
106,0.05,0.9,0,0
107,0.05,0.9,0,0
108,0.05,0.9,0,0
109,0.05,0.9,0,0
110,0.05,0.9,0,0
111,0.05,0.9,0,0
112,0.05,0.9,-1,-1
113,0.05,0.9,0,0
114,0.05,0.9,0,0
115,0.05,0.9,0,0
116,0.05,0.9,0,0
117,0.05,0.9,0,0
118,0.05,0.9,0,0
119,0.05,0.9,0,0
120,0.05,0.9,0,0
121,0.05,0.9,0,0
122,0.05,0.9,0,0
123,0.05,0.9,0,0
124,0.05,0.9,0,0
125,0.05,0.9,1,1
126,0.05,0.9,0,0
127,0.05,0.9,0,0
128,0.05,0.9,0,0
129,0.05,0.9,0,0
130,0.05,0.9,0,1
131,0.05,0.9,0,0
132,0.05,0.9,0,0
133,0.05,0.9,0,0
134,0.05,0.9,0,0
135,0.05,0.9,0,0
136,0.05,0.9,0,0
137,0.05,0.9,0,0
138,0.05,0.9,0,0
139,0.05,0.9,0,0
140,0.05,0.9,1,1
141,0.05,0.9,0,0
142,0.05,0.9,0,0
143,0.05,0.9,0,0
144,0.05,0.9,0,0
145,0.05,0.9,0,0
146,0.05,0.9,0,0
147,0.05,0.9,0,0
148,0.05,0.9,0,0
149,0.05,0.9,-1,-1
150,0.05,0.9,-1,-1
151,0.05,0.9,0,0
152,0.05,0.9,0,0
153,0.05,0.9,1,1
154,0.05,0.9,0,0
155,0.05,0.9,0,0
156,0.05,0.9,0,0
157,0.05,0.9,0,1
158,0.05,0.9,0,0
159,0.05,0.9,0,0
160,0.05,0.9,0,0
161,0.05,0.9,0,0
162,0.05,0.9,0,0
163,0.05,0.9,0,0
164,0.05,0.9,0,0
165,0.05,0.9,0,0
166,0.05,0.9,0,0
167,0.05,0.9,0,0
168,0.05,0.9,0,0
169,0.05,0.9,0,0
170,0.05,0.9,0,0
171,0.05,0.9,0,0
172,0.05,0.9,0,0
173,0.05,0.9,0,1
174,0.05,0.9,0,0
175,0.05,0.9,0,0
176,0.05,0.9,0,0
177,0.05,0.9,0,0
178,0.05,0.9,0,0
179,0.05,0.9,0,0
180,0.05,0.9,0,0
181,0.05,0.9,0,0
182,0.05,0.9,0,0
183,0.05,0.9,0,0
184,0.05,0.9,0,0
185,0.05,0.9,-1,-1
186,0.05,0.9,0,0
187,0.05,0.9,0,0
188,0.05,0.9,0,0
189,0.05,0.9,0,0
190,0.05,0.9,-1,-1
191,0.05,0.9,0,0
192,0.05,0.9,0,1
193,0.05,0.9,0,0
194,0.05,0.9,0,0
195,0.05,0.9,0,0
196,0.05,0.9,-1,-1
197,0.05,0.9,0,0
198,0.05,0.9,0,0
199,0.05,0.9,0,0
200,0.05,0.9,0,0
201,0.05,0.9,0,0
202,0.05,0.9,0,0
203,0.05,0.9,-1,-1
204,0.05,0.9,0,0
205,0.05,0.9,0,1
206,0.05,0.9,0,0
207,0.05,0.9,0,0
208,0.05,0.9,0,0
209,0.05,0.9,0,0
210,0.05,0.9,0,0
211,0.05,0.9,0,0
212,0.05,0.9,0,0
213,0.05,0.9,0,0
214,0.05,0.9,0,0
215,0.05,0.9,0,0
216,0.05,0.9,0,0
217,0.05,0.9,1,1
218,0.05,0.9,0,0
219,0.05,0.9,0,0
220,0.05,0.9,0,0
221,0.05,0.9,0,0
222,0.05,0.9,0,0
223,0.05,0.9,0,0
224,0.05,0.9,1,1
225,0.05,0.9,0,0
226,0.05,0.9,1,1
227,0.05,0.9,0,0
228,0.05,0.9,0,0
229,0.05,0.9,0,0
230,0.05,0.9,0,0
231,0.05,0.9,0,0
232,0.05,0.9,0,0
233,0.05,0.9,0,0
234,0.05,0.9,0,0
235,0.05,0.9,0,0
236,0.05,0.9,0,0
237,0.05,0.9,0,0
238,0.05,0.9,0,0
239,0.05,0.9,0,0
240,0.05,0.9,-1,-1
241,0.05,0.9,-1,-1
242,0.05,0.9,-1,-1
243,0.05,0.9,0,1
244,0.05,0.9,0,0
245,0.05,0.9,0,0
246,0.05,0.9,0,0
247,0.05,0.9,0,0
248,0.05,0.9,0,0
249,0.05,0.9,0,0
250,0.05,0.9,0,0
251,0.05,0.9,0,0
252,0.05,0.9,0,0
253,0.05,0.9,0,0
254,0.05,0.9,0,0
255,0.05,0.9,0,0
256,0.05,0.9,0,0
257,0.05,0.9,0,0
258,0.05,0.9,0,0
259,0.05,0.9,-1,-1
260,0.05,0.9,0,0
261,0.05,0.9,0,0
262,0.05,0.9,0,0
263,0.05,0.9,-1,-1
264,0.05,0.9,0,0
265,0.05,0.9,0,0
266,0.05,0.9,-1,-1
267,0.05,0.9,1,0
268,0.05,0.9,1,1
269,0.05,0.9,0,0
270,0.05,0.9,0,1
271,0.05,0.9,0,0
272,0.05,0.9,1,1
273,0.05,0.9,-1,-1
274,0.05,0.9,0,0
275,0.05,0.9,0,0
276,0.05,0.9,0,0
277,0.05,0.9,0,0
278,0.05,0.9,0,0
279,0.05,0.9,0,0
280,0.05,0.9,0,0
281,0.05,0.9,0,0
282,0.05,0.9,-1,-1
283,0.05,0.9,0,0
284,0.05,0.9,0,0
285,0.05,0.9,-1,-1
286,0.05,0.9,0,0
287,0.05,0.9,-1,-1
288,0.05,0.9,0,0
289,0.05,0.9,0,0
290,0.05,0.9,-1,-1
291,0.05,0.9,0,0
292,0.05,0.9,0,0
293,0.05,0.9,-1,-1
294,0.05,0.9,0,0
295,0.05,0.9,-1,-1
296,0.05,0.9,0,1
297,0.05,0.9,0,0
298,0.05,0.9,0,0
299,0.05,0.9,0,0
300,0.05,0.9,0,0
