trial_indices,leftP,rightP,choices,rewarded
0,0.05,0.85,0,1
1,0.05,0.85,1,1
2,0.05,0.85,1,1
3,0.05,0.85,1,1
4,0.05,0.85,1,1
5,0.05,0.85,1,1
6,0.05,0.85,1,1
7,0.05,0.85,1,1
8,0.05,0.85,1,0
9,0.05,0.85,1,1
10,0.05,0.85,0,0
11,0.05,0.85,1,0
12,0.05,0.85,1,1
13,0.05,0.85,1,1
14,0.05,0.85,1,1
15,0.05,0.85,1,1
16,0.05,0.85,1,1
17,0.05,0.85,1,1
18,0.05,0.85,1,1
19,0.05,0.85,0,0
20,0.05,0.85,1,1
21,0.05,0.85,1,1
22,0.05,0.85,1,0
23,0.05,0.85,1,1
24,0.05,0.85,1,1
25,0.05,0.85,1,1
26,0.05,0.85,1,1
27,0.05,0.85,1,1
28,0.05,0.85,1,0
29,0.05,0.85,1,1
30,0.05,0.85,1,1
31,0.05,0.85,1,1
32,0.05,0.85,1,1
33,0.05,0.85,1,1
34,0.05,0.85,1,1
35,0.05,0.85,1,0
36,0.05,0.85,0,0
37,0.05,0.85,1,1
38,0.05,0.85,1,1
39,0.05,0.85,1,0
40,0.05,0.85,1,1
41,0.05,0.85,0,0
42,0.05,0.85,1,1
43,0.05,0.85,1,1
44,0.05,0.85,1,1
45,0.05,0.85,0,0
46,0.05,0.85,1,1
47,0.05,0.85,1,1
48,0.05,0.85,1,1
49,0.05,0.85,1,1
50,0.05,0.85,1,0
51,0.05,0.85,-1,-1
52,0.05,0.85,0,0
53,0.05,0.85,0,0
54,0.05,0.85,0,0
55,0.05,0.85,0,0
56,0.05,0.85,0,0
57,0.05,0.85,0,0
58,0.05,0.85,0,0
59,0.05,0.85,0,0
60,0.05,0.85,0,0
61,0.05,0.85,-1,-1
62,0.05,0.85,0,0
63,0.05,0.85,-1,-1
64,0.05,0.85,0,0
65,0.05,0.85,-1,-1
66,0.05,0.85,-1,-1
67,0.05,0.85,0,0
68,0.05,0.85,-1,-1
69,0.05,0.85,-1,-1
70,0.05,0.85,1,1
71,0.05,0.85,1,1
72,0.05,0.85,1,1
73,0.05,0.85,1,0
74,0.05,0.85,0,0
75,0.05,0.85,0,0
76,0.05,0.85,0,0
77,0.05,0.85,0,0
78,0.05,0.85,-1,-1
79,0.05,0.85,0,0
80,0.05,0.85,0,0
81,0.05,0.85,0,0
82,0.05,0.85,0,0
83,0.05,0.85,-1,-1
84,0.05,0.85,-1,-1
85,0.05,0.85,0,0
86,0.05,0.85,-1,-1
87,0.05,0.85,-1,-1
88,0.05,0.85,-1,-1
89,0.05,0.85,-1,-1
90,0.05,0.85,0,0
91,0.05,0.85,-1,-1
92,0.05,0.85,0,0
93,0.05,0.85,-1,-1
94,0.05,0.85,1,1
95,0.05,0.85,0,0
96,0.05,0.85,-1,-1
97,0.05,0.85,0,0
98,0.05,0.85,0,0
99,0.05,0.85,-1,-1
100,0.05,0.85,0,1
101,0.05,0.85,0,0
102,0.05,0.85,0,0
103,0.05,0.85,-1,-1
104,0.05,0.85,0,0
105,0.05,0.85,-1,-1
106,0.05,0.85,0,0
107,0.05,0.85,0,0
108,0.05,0.85,-1,-1
109,0.05,0.85,-1,-1
110,0.05,0.85,0,0
111,0.05,0.85,-1,-1
112,0.05,0.85,0,0
113,0.05,0.85,-1,-1
114,0.05,0.85,-1,-1
115,0.05,0.85,0,0
116,0.05,0.85,-1,-1
117,0.05,0.85,-1,-1
118,0.05,0.85,0,0
119,0.05,0.85,-1,-1
120,0.05,0.85,0,0
121,0.05,0.85,-1,-1
122,0.05,0.85,0,1
123,0.05,0.85,1,0
124,0.05,0.85,-1,-1
125,0.05,0.85,1,1
126,0.05,0.85,0,0
127,0.05,0.85,0,0
128,0.05,0.85,1,1
129,0.05,0.85,1,1
130,0.05,0.85,1,1
131,0.05,0.85,1,1
132,0.05,0.85,1,1
133,0.05,0.85,1,1
134,0.05,0.85,1,1
135,0.05,0.85,1,1
136,0.05,0.85,1,1
137,0.05,0.85,1,1
138,0.05,0.85,1,1
139,0.05,0.85,1,1
140,0.8,0.05,1,0
141,0.8,0.05,1,0
142,0.8,0.05,-1,-1
143,0.8,0.05,-1,-1
144,0.8,0.05,0,1
145,0.8,0.05,0,1
146,0.8,0.05,1,0
147,0.8,0.05,0,0
148,0.8,0.05,1,0
149,0.8,0.05,0,1
150,0.8,0.05,0,0
151,0.8,0.05,1,0
152,0.8,0.05,0,0
153,0.8,0.05,-1,-1
154,0.8,0.05,0,1
155,0.8,0.05,0,0
156,0.8,0.05,0,1
157,0.8,0.05,-1,-1
158,0.8,0.05,0,1
159,0.8,0.05,0,1
160,0.8,0.05,0,1
161,0.8,0.05,1,0
162,0.8,0.05,0,1
163,0.8,0.05,1,0
164,0.8,0.05,0,1
165,0.8,0.05,0,1
166,0.8,0.05,1,0
167,0.8,0.05,1,0
168,0.8,0.05,-1,-1
169,0.8,0.05,0,1
170,0.8,0.05,0,1
171,0.8,0.05,1,0
172,0.8,0.05,-1,-1
173,0.8,0.05,-1,-1
174,0.8,0.05,0,1
175,0.8,0.05,0,1
176,0.8,0.05,0,1
177,0.8,0.05,0,1
178,0.8,0.05,1,0
179,0.8,0.05,1,0
180,0.8,0.05,0,1
181,0.8,0.05,1,0
182,0.8,0.05,0,0
183,0.8,0.05,0,1
184,0.8,0.05,0,1
185,0.8,0.05,1,0
186,0.8,0.05,0,1
187,0.8,0.05,-1,-1
188,0.8,0.05,0,1
189,0.8,0.05,0,1
190,0.8,0.05,0,0
191,0.8,0.05,0,1
192,0.8,0.05,0,1
193,0.8,0.05,0,1
194,0.8,0.05,0,1
195,0.8,0.05,0,0
196,0.8,0.05,0,1
197,0.8,0.05,0,1
198,0.8,0.05,0,1
199,0.8,0.05,0,1
200,0.8,0.05,0,0
201,0.8,0.05,0,1
202,0.8,0.05,0,1
203,0.8,0.05,0,1
204,0.8,0.05,0,0
205,0.8,0.05,-1,-1
206,0.8,0.05,0,1
207,0.8,0.05,0,0
208,0.8,0.05,0,0
209,0.8,0.05,0,1
210,0.8,0.05,0,0
211,0.8,0.05,0,1
212,0.8,0.05,0,1
213,0.8,0.05,0,1
214,0.8,0.05,0,1
215,0.8,0.05,0,1
216,0.8,0.05,1,0
217,0.8,0.05,0,1
218,0.8,0.05,-1,-1
219,0.8,0.05,0,1
220,0.05,0.85,0,0
221,0.05,0.85,-1,-1
222,0.05,0.85,0,0
223,0.05,0.85,0,0
224,0.05,0.85,-1,-1
225,0.05,0.85,0,1
226,0.05,0.85,0,0
227,0.05,0.85,0,0
228,0.05,0.85,1,1
229,0.05,0.85,1,1
230,0.05,0.85,0,0
231,0.05,0.85,-1,-1
232,0.05,0.85,0,0
233,0.05,0.85,-1,-1
234,0.05,0.85,0,0
235,0.05,0.85,0,0
236,0.05,0.85,0,0
237,0.05,0.85,-1,-1
238,0.05,0.85,0,0
239,0.05,0.85,0,0
240,0.05,0.85,0,0
241,0.05,0.85,0,0
242,0.05,0.85,-1,-1
243,0.05,0.85,-1,-1
244,0.05,0.85,-1,-1
245,0.05,0.85,-1,-1
246,0.05,0.85,-1,-1
247,0.05,0.85,-1,-1
248,0.05,0.85,-1,-1
249,0.05,0.85,0,0
250,0.05,0.85,0,0
251,0.05,0.85,-1,-1
252,0.05,0.85,0,0
253,0.05,0.85,-1,-1
254,0.05,0.85,-1,-1
255,0.05,0.85,-1,-1
256,0.05,0.85,-1,-1
257,0.05,0.85,-1,-1
258,0.05,0.85,-1,-1
259,0.05,0.85,-1,-1
260,0.05,0.85,-1,-1
261,0.05,0.85,0,0
262,0.05,0.85,0,0
263,0.05,0.85,-1,-1
264,0.05,0.85,-1,-1
265,0.05,0.85,-1,-1
266,0.05,0.85,-1,-1
267,0.05,0.85,-1,-1
268,0.05,0.85,-1,-1
269,0.05,0.85,-1,-1
270,0.05,0.85,0,1
271,0.05,0.85,0,0
272,0.05,0.85,0,0
273,0.05,0.85,0,0
274,0.05,0.85,0,0
275,0.05,0.85,0,0
276,0.05,0.85,0,0
277,0.05,0.85,-1,-1
278,0.05,0.85,0,0
279,0.05,0.85,0,0
280,0.05,0.85,-1,-1
281,0.05,0.85,-1,-1
282,0.05,0.85,0,0
283,0.05,0.85,-1,-1
284,0.05,0.85,-1,-1
285,0.05,0.85,-1,-1
286,0.05,0.85,0,0
287,0.05,0.85,-1,-1
288,0.05,0.85,-1,-1
289,0.05,0.85,0,0
290,0.05,0.85,-1,-1
291,0.05,0.85,0,0
292,0.05,0.85,0,0
293,0.05,0.85,-1,-1
294,0.05,0.85,-1,-1
295,0.05,0.85,-1,-1
296,0.05,0.85,-1,-1
297,0.05,0.85,-1,-1
298,0.05,0.85,0,0
299,0.05,0.85,-1,-1
300,0.05,0.85,-1,-1
301,0.05,0.85,0,0
302,0.05,0.85,0,0
303,0.05,0.85,-1,-1
304,0.05,0.85,0,0
305,0.05,0.85,-1,-1
306,0.05,0.85,-1,-1
307,0.05,0.85,0,0
308,0.05,0.85,-1,-1
309,0.05,0.85,0,0
310,0.05,0.85,-1,-1
311,0.05,0.85,-1,-1
312,0.05,0.85,-1,-1
313,0.05,0.85,-1,-1
314,0.05,0.85,0,0
315,0.05,0.85,-1,-1
316,0.05,0.85,-1,-1
317,0.05,0.85,-1,-1
318,0.05,0.85,-1,-1
319,0.05,0.85,0,0
320,0.05,0.85,0,0
321,0.05,0.85,-1,-1
322,0.05,0.85,-1,-1
323,0.05,0.85,0,1
324,0.05,0.85,-1,-1
325,0.05,0.85,-1,-1
326,0.05,0.85,-1,-1
327,0.05,0.85,0,0
328,0.05,0.85,1,1
329,0.05,0.85,0,0
330,0.05,0.85,1,1
331,0.05,0.85,1,1
332,0.05,0.85,1,1
333,0.05,0.85,1,1
334,0.05,0.85,1,1
335,0.05,0.85,1,1
336,0.05,0.85,1,0
337,0.05,0.85,-1,-1
338,0.05,0.85,-1,-1
339,0.05,0.85,-1,-1
340,0.05,0.85,-1,-1
341,0.05,0.85,-1,-1
342,0.05,0.85,0,0
343,0.05,0.85,0,0
344,0.05,0.85,-1,-1
345,0.05,0.85,0,0
346,0.05,0.85,0,0
347,0.05,0.85,-1,-1
348,0.05,0.85,1,1
349,0.05,0.85,0,0
350,0.05,0.85,-1,-1
351,0.05,0.85,0,0
352,0.05,0.85,-1,-1
353,0.05,0.85,0,0
354,0.05,0.85,0,0
355,0.05,0.85,-1,-1
356,0.05,0.85,0,0
357,0.05,0.85,0,0
358,0.05,0.85,-1,-1
359,0.05,0.85,-1,-1
360,0.05,0.85,0,0
361,0.05,0.85,0,0
362,0.05,0.85,0,0
363,0.05,0.85,-1,-1
364,0.05,0.85,0,0
365,0.05,0.85,-1,-1
366,0.05,0.85,-1,-1
367,0.05,0.85,1,0
368,0.05,0.85,0,0
369,0.05,0.85,0,0
370,0.05,0.85,1,1
371,0.05,0.85,0,0
372,0.05,0.85,0,0
373,0.05,0.85,0,0
374,0.05,0.85,0,0
375,0.05,0.85,1,1
