trial_indices,leftP,rightP,choices,rewarded
0,0.15,0.85,1,1
1,0.15,0.85,0,1
2,0.15,0.85,1,1
3,0.15,0.85,1,1
4,0.15,0.85,1,0
5,0.15,0.85,1,1
6,0.15,0.85,1,1
7,0.15,0.85,1,1
8,0.15,0.85,1,1
9,0.15,0.85,1,0
10,0.15,0.85,1,1
11,0.15,0.85,1,1
12,0.15,0.85,1,0
13,0.15,0.85,1,1
14,0.15,0.85,0,0
15,0.15,0.85,1,1
16,0.15,0.85,1,1
17,0.15,0.85,1,1
18,0.15,0.85,1,1
19,0.15,0.85,1,1
20,0.15,0.85,1,1
21,0.15,0.85,1,1
22,0.15,0.85,-1,-1
23,0.15,0.85,1,0
24,0.15,0.85,1,1
25,0.15,0.85,1,0
26,0.15,0.85,1,1
27,0.15,0.85,0,0
28,0.15,0.85,1,1
29,0.15,0.85,0,0
30,0.15,0.85,1,1
31,0.15,0.85,1,1
32,0.15,0.85,1,1
33,0.15,0.85,1,1
34,0.15,0.85,0,0
35,0.15,0.85,1,1
36,0.15,0.85,1,1
37,0.15,0.85,1,1
38,0.15,0.85,1,1
39,0.15,0.85,1,1
40,0.15,0.85,1,0
41,0.15,0.85,1,1
42,0.15,0.85,1,1
43,0.15,0.85,1,1
44,0.15,0.85,1,1
45,0.15,0.85,0,1
46,0.15,0.85,1,1
47,0.15,0.85,1,1
48,0.15,0.85,1,0
49,0.15,0.85,1,1
50,0.15,0.85,1,1
51,0.15,0.85,0,0
52,0.15,0.85,1,1
53,0.15,0.85,0,0
54,0.15,0.85,1,1
55,0.15,0.85,1,1
56,0.15,0.85,1,1
57,0.15,0.85,1,1
58,0.15,0.85,1,1
59,0.15,0.85,1,1
60,0.15,0.85,1,1
61,0.15,0.85,1,1
62,0.15,0.85,1,1
63,0.15,0.85,1,1
64,0.15,0.85,1,0
65,0.15,0.85,1,1
66,0.15,0.85,1,1
67,0.15,0.85,1,1
68,0.15,0.85,1,0
69,0.15,0.85,0,0
70,0.15,0.85,1,1
71,0.15,0.85,0,0
72,0.15,0.85,1,1
73,0.15,0.85,1,1
74,0.15,0.85,1,0
75,0.15,0.85,1,1
76,0.8,0.15,1,0
77,0.8,0.15,1,0
78,0.8,0.15,-1,-1
79,0.8,0.15,1,0
80,0.8,0.15,1,0
81,0.8,0.15,1,0
82,0.8,0.15,1,0
83,0.8,0.15,1,0
84,0.8,0.15,1,0
85,0.8,0.15,1,1
86,0.8,0.15,1,0
87,0.8,0.15,1,1
88,0.8,0.15,0,1
89,0.8,0.15,0,1
90,0.8,0.15,0,1
91,0.8,0.15,0,1
92,0.8,0.15,0,1
93,0.8,0.15,0,0
94,0.8,0.15,0,1
95,0.8,0.15,0,1
96,0.8,0.15,0,0
97,0.8,0.15,0,1
98,0.8,0.15,0,1
99,0.8,0.15,0,0
100,0.8,0.15,0,1
101,0.8,0.15,0,1
102,0.8,0.15,0,1
103,0.8,0.15,0,1
104,0.8,0.15,0,1
105,0.8,0.15,0,1
106,0.8,0.15,0,1
107,0.8,0.15,0,0
108,0.8,0.15,0,1
109,0.8,0.15,0,1
110,0.8,0.15,0,1
111,0.8,0.15,0,1
112,0.8,0.15,0,1
113,0.8,0.15,0,1
114,0.8,0.15,0,1
115,0.8,0.15,0,1
116,0.8,0.15,1,0
117,0.8,0.15,0,1
118,0.8,0.15,0,0
119,0.8,0.15,0,1
120,0.8,0.15,0,1
121,0.8,0.15,0,1
122,0.8,0.15,0,0
123,0.8,0.15,0,1
124,0.8,0.15,0,1
125,0.8,0.15,0,1
126,0.8,0.15,0,1
127,0.8,0.15,1,0
128,0.8,0.15,0,0
129,0.8,0.15,0,0
130,0.8,0.15,0,1
131,0.8,0.15,0,1
132,0.8,0.15,0,1
133,0.8,0.15,0,1
134,0.8,0.15,0,1
135,0.8,0.15,0,0
136,0.8,0.15,0,0
137,0.8,0.15,0,1
138,0.8,0.15,0,0
139,0.8,0.15,0,1
140,0.8,0.15,0,0
141,0.8,0.15,0,1
142,0.8,0.15,0,1
143,0.8,0.15,0,1
144,0.8,0.15,1,1
145,0.8,0.15,0,1
146,0.8,0.15,1,0
147,0.15,0.9,1,1
148,0.15,0.9,1,1
149,0.15,0.9,1,0
150,0.15,0.9,1,1
151,0.15,0.9,1,1
152,0.15,0.9,1,1
153,0.15,0.9,1,1
154,0.15,0.9,1,1
155,0.15,0.9,1,1
156,0.15,0.9,1,1
157,0.15,0.9,1,1
158,0.15,0.9,1,1
159,0.15,0.9,1,1
160,0.15,0.9,1,1
161,0.15,0.9,1,1
162,0.15,0.9,1,1
163,0.15,0.9,1,0
164,0.15,0.9,1,1
165,0.15,0.9,1,1
166,0.15,0.9,1,1
167,0.15,0.9,1,1
168,0.15,0.9,1,1
169,0.15,0.9,1,1
170,0.15,0.9,1,0
171,0.15,0.9,1,1
172,0.15,0.9,1,1
173,0.15,0.9,1,1
174,0.15,0.9,1,1
175,0.15,0.9,1,1
176,0.15,0.9,1,1
177,0.15,0.9,1,1
178,0.15,0.9,1,1
179,0.15,0.9,1,1
180,0.15,0.9,1,0
181,0.15,0.9,1,1
182,0.15,0.9,1,1
183,0.15,0.9,0,1
184,0.15,0.9,1,1
185,0.15,0.9,1,1
186,0.15,0.9,1,1
187,0.15,0.9,1,1
188,0.15,0.9,1,1
189,0.15,0.9,1,1
190,0.15,0.9,1,1
191,0.15,0.9,1,1
192,0.15,0.9,1,1
193,0.15,0.9,1,0
194,0.15,0.9,1,1
195,0.15,0.9,1,1
196,0.15,0.9,1,1
197,0.15,0.9,1,1
198,0.15,0.9,0,0
199,0.15,0.9,1,1
200,0.15,0.9,1,1
201,0.15,0.9,1,1
202,0.15,0.9,1,1
203,0.15,0.9,0,0
204,0.15,0.9,1,1
205,0.15,0.9,0,0
206,0.15,0.9,1,1
207,0.15,0.9,1,1
208,0.15,0.9,1,1
209,0.15,0.9,1,1
210,0.15,0.9,1,0
211,0.15,0.9,0,0
212,0.15,0.9,1,1
213,0.15,0.9,1,1
214,0.15,0.9,1,1
215,0.15,0.9,1,1
