trial_indices,leftP,rightP,choices,rewarded
0,0.85,0.2,0,1
1,0.85,0.2,0,1
2,0.85,0.2,1,1
3,0.85,0.2,1,1
4,0.85,0.2,1,0
5,0.85,0.2,0,1
6,0.85,0.2,0,1
7,0.85,0.2,0,1
8,0.85,0.2,0,1
9,0.85,0.2,1,0
10,0.85,0.2,0,1
11,0.85,0.2,0,1
12,0.85,0.2,-1,-1
13,0.85,0.2,0,1
14,0.85,0.2,1,0
15,0.85,0.2,-1,-1
16,0.85,0.2,0,1
17,0.85,0.2,0,0
18,0.85,0.2,-1,-1
19,0.85,0.2,0,1
20,0.85,0.2,0,1
21,0.85,0.2,1,0
22,0.85,0.2,0,1
23,0.85,0.2,0,0
24,0.85,0.2,0,1
25,0.85,0.2,0,1
26,0.85,0.2,0,1
27,0.85,0.2,0,1
28,0.85,0.2,0,0
29,0.85,0.2,0,0
30,0.85,0.2,0,0
31,0.85,0.2,1,0
32,0.85,0.2,0,1
33,0.85,0.2,0,1
34,0.85,0.2,0,1
35,0.85,0.2,0,1
36,0.85,0.2,0,1
37,0.85,0.2,0,1
38,0.85,0.2,0,1
39,0.85,0.2,0,1
40,0.85,0.2,0,1
41,0.85,0.2,0,1
42,0.85,0.2,0,1
43,0.85,0.2,0,1
44,0.85,0.2,0,1
45,0.85,0.2,1,0
46,0.85,0.2,0,1
47,0.85,0.2,0,0
48,0.85,0.2,0,1
49,0.85,0.2,-1,-1
50,0.85,0.2,0,1
51,0.85,0.2,-1,-1
52,0.85,0.2,1,0
53,0.85,0.2,1,0
54,0.85,0.2,0,1
55,0.85,0.2,0,1
56,0.85,0.2,1,0
57,0.85,0.2,0,1
58,0.85,0.2,0,1
59,0.85,0.2,0,1
60,0.85,0.2,0,1
61,0.85,0.2,0,1
62,0.85,0.2,0,1
63,0.85,0.2,0,0
64,0.85,0.2,0,1
65,0.85,0.2,0,1
66,0.85,0.2,0,0
67,0.85,0.2,0,1
68,0.85,0.2,0,1
69,0.85,0.2,0,1
70,0.85,0.2,0,1
71,0.85,0.2,0,1
72,0.85,0.2,0,1
73,0.85,0.2,0,0
74,0.85,0.2,0,1
75,0.85,0.2,1,1
76,0.85,0.2,1,0
77,0.85,0.2,0,1
78,0.85,0.2,0,1
79,0.85,0.2,0,0
80,0.2,0.75,0,0
81,0.2,0.75,0,0
82,0.2,0.75,0,1
83,0.2,0.75,0,0
84,0.2,0.75,0,0
85,0.2,0.75,0,0
86,0.2,0.75,1,1
87,0.2,0.75,0,0
88,0.2,0.75,1,0
89,0.2,0.75,1,1
90,0.2,0.75,1,1
91,0.2,0.75,1,1
92,0.2,0.75,1,1
93,0.2,0.75,1,1
94,0.2,0.75,1,1
95,0.2,0.75,0,0
96,0.2,0.75,1,1
97,0.2,0.75,1,1
98,0.2,0.75,1,0
99,0.2,0.75,1,0
100,0.2,0.75,1,1
101,0.2,0.75,1,0
102,0.2,0.75,1,1
103,0.2,0.75,1,1
104,0.2,0.75,1,1
105,0.2,0.75,1,1
106,0.2,0.75,1,1
107,0.2,0.75,-1,-1
108,0.2,0.75,1,0
109,0.2,0.75,1,1
110,0.2,0.75,1,1
111,0.2,0.75,1,0
112,0.2,0.75,1,0
113,0.2,0.75,1,0
114,0.2,0.75,1,1
115,0.2,0.75,1,1
116,0.2,0.75,1,1
117,0.2,0.75,1,1
118,0.2,0.75,1,0
119,0.2,0.75,1,0
120,0.2,0.75,1,1
121,0.2,0.75,1,1
122,0.2,0.75,1,1
123,0.2,0.75,1,1
124,0.2,0.75,1,1
125,0.2,0.75,1,1
126,0.2,0.75,1,1
127,0.2,0.75,1,1
128,0.2,0.75,1,1
129,0.2,0.75,1,0
130,0.2,0.75,1,1
131,0.8,0.2,1,0
132,0.8,0.2,1,0
133,0.8,0.2,1,1
134,0.8,0.2,1,0
135,0.8,0.2,1,0
136,0.8,0.2,1,0
137,0.8,0.2,1,1
138,0.8,0.2,1,0
139,0.8,0.2,1,0
140,0.8,0.2,0,0
141,0.8,0.2,-1,-1
142,0.8,0.2,0,1
143,0.8,0.2,-1,-1
144,0.8,0.2,0,1
145,0.8,0.2,0,0
146,0.8,0.2,0,1
147,0.8,0.2,-1,-1
148,0.8,0.2,-1,-1
149,0.8,0.2,-1,-1
150,0.8,0.2,-1,-1
151,0.8,0.2,0,1
152,0.8,0.2,1,0
153,0.8,0.2,1,0
154,0.8,0.2,0,1
155,0.8,0.2,0,0
156,0.8,0.2,0,1
157,0.8,0.2,1,0
158,0.8,0.2,0,1
159,0.8,0.2,0,1
160,0.8,0.2,0,0
161,0.8,0.2,1,0
162,0.8,0.2,0,1
163,0.8,0.2,0,1
164,0.8,0.2,0,1
165,0.8,0.2,0,1
166,0.8,0.2,0,1
167,0.8,0.2,0,1
168,0.8,0.2,0,1
169,0.8,0.2,0,1
170,0.8,0.2,0,1
171,0.8,0.2,0,0
172,0.8,0.2,0,1
173,0.8,0.2,0,1
174,0.8,0.2,0,1
175,0.8,0.2,0,1
176,0.8,0.2,0,1
177,0.8,0.2,0,1
178,0.8,0.2,0,1
179,0.8,0.2,0,0
180,0.8,0.2,0,1
181,0.8,0.2,0,0
182,0.8,0.2,0,0
183,0.8,0.2,0,1
184,0.8,0.2,0,1
185,0.8,0.2,0,1
186,0.8,0.2,0,1
187,0.8,0.2,0,1
188,0.8,0.2,0,1
189,0.8,0.2,0,1
190,0.8,0.2,0,0
191,0.8,0.2,0,1
192,0.8,0.2,0,1
193,0.8,0.2,0,1
194,0.8,0.2,0,1
195,0.8,0.2,0,1
196,0.8,0.2,0,1
197,0.8,0.2,0,0
198,0.8,0.2,0,1
199,0.8,0.2,0,0
200,0.8,0.2,0,1
201,0.8,0.2,0,1
202,0.8,0.2,0,1
203,0.8,0.2,0,0
204,0.8,0.2,0,1
205,0.8,0.2,0,1
206,0.8,0.2,0,1
207,0.8,0.2,0,1
208,0.8,0.2,0,1
209,0.8,0.2,0,1
210,0.8,0.2,0,1
211,0.8,0.2,1,0
212,0.8,0.2,-1,-1
213,0.8,0.2,1,1
214,0.8,0.2,-1,-1
215,0.8,0.2,0,1
216,0.8,0.2,1,0
217,0.8,0.2,-1,-1
218,0.8,0.2,0,1
219,0.8,0.2,0,1
220,0.8,0.2,-1,-1
221,0.8,0.2,0,1
222,0.8,0.2,0,0
223,0.8,0.2,0,1
224,0.8,0.2,-1,-1
225,0.8,0.2,0,1
226,0.8,0.2,1,0
227,0.8,0.2,1,1
228,0.8,0.2,-1,-1
229,0.8,0.2,0,0
230,0.8,0.2,0,1
231,0.8,0.2,0,1
232,0.8,0.2,0,1
233,0.2,0.85,1,1
234,0.2,0.85,1,1
235,0.2,0.85,0,0
236,0.2,0.85,0,0
237,0.2,0.85,-1,-1
238,0.2,0.85,1,0
239,0.2,0.85,0,0
240,0.2,0.85,0,1
241,0.2,0.85,1,1
242,0.2,0.85,-1,-1
243,0.2,0.85,1,1
244,0.2,0.85,0,0
245,0.2,0.85,1,1
246,0.2,0.85,0,0
247,0.2,0.85,1,1
248,0.2,0.85,0,0
249,0.2,0.85,0,0
250,0.2,0.85,-1,-1
251,0.2,0.85,0,0
252,0.2,0.85,-1,-1
253,0.2,0.85,0,0
254,0.2,0.85,-1,-1
255,0.2,0.85,1,0
256,0.2,0.85,1,1
257,0.2,0.85,0,1
258,0.2,0.85,-1,-1
259,0.2,0.85,0,0
260,0.2,0.85,-1,-1
261,0.2,0.85,-1,-1
262,0.2,0.85,0,1
263,0.2,0.85,-1,-1
264,0.2,0.85,-1,-1
265,0.2,0.85,1,1
266,0.2,0.85,-1,-1
267,0.2,0.85,-1,-1
268,0.2,0.85,0,0
269,0.2,0.85,-1,-1
270,0.2,0.85,-1,-1
271,0.2,0.85,-1,-1
272,0.2,0.85,1,1
273,0.2,0.85,0,0
274,0.2,0.85,-1,-1
275,0.2,0.85,-1,-1
276,0.2,0.85,-1,-1
277,0.2,0.85,-1,-1
278,0.2,0.85,-1,-1
279,0.2,0.85,0,0
280,0.2,0.85,-1,-1
