trial_indices,leftP,rightP,choices,rewarded
0,0.85,0.05,-1,-1
1,0.85,0.05,0,1
2,0.85,0.05,1,0
3,0.85,0.05,1,0
4,0.85,0.05,-1,-1
5,0.85,0.05,1,0
6,0.85,0.05,1,0
7,0.85,0.05,1,1
8,0.85,0.05,-1,-1
9,0.85,0.05,-1,-1
10,0.85,0.05,-1,-1
11,0.85,0.05,-1,-1
12,0.85,0.05,1,0
13,0.85,0.05,-1,-1
14,0.85,0.05,-1,-1
15,0.85,0.05,-1,-1
16,0.85,0.05,-1,-1
17,0.85,0.05,-1,-1
18,0.85,0.05,1,0
19,0.85,0.05,-1,-1
20,0.85,0.05,-1,-1
21,0.85,0.05,-1,-1
22,0.85,0.05,-1,-1
23,0.85,0.05,-1,-1
24,0.85,0.05,-1,-1
25,0.85,0.05,-1,-1
26,0.85,0.05,-1,-1
27,0.85,0.05,-1,-1
28,0.85,0.05,-1,-1
29,0.85,0.05,-1,-1
30,0.85,0.05,-1,-1
31,0.85,0.05,-1,-1
32,0.85,0.05,-1,-1
33,0.85,0.05,1,0
34,0.85,0.05,-1,-1
35,0.85,0.05,1,0
36,0.85,0.05,-1,-1
37,0.85,0.05,1,0
38,0.85,0.05,1,0
39,0.85,0.05,1,0
40,0.85,0.05,-1,-1
41,0.85,0.05,1,0
42,0.85,0.05,-1,-1
43,0.85,0.05,-1,-1
44,0.85,0.05,0,1
45,0.85,0.05,-1,-1
46,0.85,0.05,1,0
47,0.85,0.05,0,1
48,0.85,0.05,-1,-1
49,0.85,0.05,1,0
50,0.85,0.05,-1,-1
51,0.85,0.05,1,0
52,0.85,0.05,0,1
53,0.85,0.05,1,0
54,0.85,0.05,1,0
55,0.85,0.05,-1,-1
56,0.85,0.05,0,1
57,0.85,0.05,1,0
58,0.85,0.05,1,0
59,0.85,0.05,1,0
60,0.85,0.05,1,0
61,0.85,0.05,0,1
62,0.85,0.05,1,0
63,0.85,0.05,1,0
64,0.85,0.05,0,1
65,0.85,0.05,1,0
66,0.85,0.05,1,0
67,0.85,0.05,1,0
68,0.85,0.05,-1,-1
69,0.85,0.05,1,0
70,0.85,0.05,1,0
71,0.85,0.05,1,0
72,0.85,0.05,0,1
73,0.85,0.05,1,0
74,0.85,0.05,1,0
75,0.85,0.05,1,0
76,0.85,0.05,0,1
77,0.85,0.05,1,0
78,0.85,0.05,1,0
79,0.85,0.05,0,1
80,0.85,0.05,1,0
81,0.85,0.05,0,1
82,0.85,0.05,0,1
83,0.85,0.05,0,0
84,0.85,0.05,1,1
85,0.85,0.05,0,0
86,0.85,0.05,0,0
87,0.85,0.05,0,1
88,0.85,0.05,0,1
89,0.85,0.05,0,1
90,0.85,0.05,0,1
91,0.85,0.05,1,0
92,0.85,0.05,1,0
93,0.85,0.05,0,1
94,0.85,0.05,0,1
95,0.85,0.05,1,0
96,0.85,0.05,-1,-1
97,0.85,0.05,0,1
98,0.85,0.05,0,1
99,0.85,0.05,0,0
100,0.85,0.05,0,0
101,0.85,0.05,0,1
102,0.85,0.05,0,0
103,0.85,0.05,1,0
104,0.85,0.05,1,0
105,0.85,0.05,0,1
106,0.85,0.05,1,0
107,0.85,0.05,0,1
108,0.85,0.05,0,1
109,0.85,0.05,0,1
110,0.85,0.05,1,0
111,0.85,0.05,0,1
112,0.85,0.05,1,0
113,0.85,0.05,0,1
114,0.85,0.05,0,1
115,0.85,0.05,0,1
116,0.85,0.05,1,0
117,0.85,0.05,0,1
118,0.85,0.05,0,1
119,0.85,0.05,1,0
120,0.85,0.05,-1,-1
121,0.85,0.05,0,1
122,0.85,0.05,1,0
123,0.85,0.05,1,0
124,0.85,0.05,0,1
125,0.85,0.05,0,1
126,0.85,0.05,0,1
127,0.85,0.05,0,0
128,0.85,0.05,1,0
129,0.85,0.05,-1,-1
130,0.85,0.05,0,1
131,0.85,0.05,1,0
132,0.85,0.05,0,0
133,0.85,0.05,0,1
134,0.85,0.05,0,1
135,0.85,0.05,1,0
136,0.85,0.05,0,1
137,0.85,0.05,0,1
138,0.85,0.05,0,1
139,0.85,0.05,0,1
140,0.85,0.05,1,0
141,0.85,0.05,-1,-1
142,0.85,0.05,0,1
143,0.85,0.05,0,1
144,0.85,0.05,0,1
145,0.85,0.05,1,0
146,0.85,0.05,-1,-1
147,0.85,0.05,0,1
148,0.85,0.05,0,1
149,0.85,0.05,1,0
150,0.85,0.05,0,0
151,0.85,0.05,0,1
152,0.85,0.05,1,0
153,0.85,0.05,-1,-1
154,0.85,0.05,0,1
155,0.85,0.05,-1,-1
156,0.85,0.05,0,1
157,0.85,0.05,1,0
158,0.85,0.05,-1,-1
159,0.85,0.05,0,1
160,0.85,0.05,1,0
161,0.85,0.05,0,1
162,0.85,0.05,-1,-1
163,0.85,0.05,1,0
164,0.85,0.05,-1,-1
165,0.85,0.05,1,1
166,0.85,0.05,1,0
167,0.85,0.05,0,1
168,0.85,0.05,-1,-1
169,0.85,0.05,0,1
170,0.85,0.05,0,1
171,0.85,0.05,0,1
172,0.85,0.05,0,1
173,0.85,0.05,-1,-1
174,0.85,0.05,0,1
175,0.85,0.05,1,0
176,0.85,0.05,-1,-1
177,0.85,0.05,-1,-1
178,0.85,0.05,0,1
179,0.85,0.05,0,1
180,0.85,0.05,0,1
181,0.85,0.05,0,1
182,0.85,0.05,-1,-1
183,0.85,0.05,1,0
184,0.85,0.05,-1,-1
185,0.85,0.05,0,0
186,0.05,0.9,0,0
187,0.05,0.9,1,1
188,0.05,0.9,-1,-1
189,0.05,0.9,0,0
190,0.05,0.9,0,0
191,0.05,0.9,0,0
192,0.05,0.9,0,1
193,0.05,0.9,0,0
194,0.05,0.9,0,0
195,0.05,0.9,-1,-1
196,0.05,0.9,0,0
197,0.05,0.9,1,1
198,0.05,0.9,0,0
199,0.05,0.9,1,0
200,0.05,0.9,-1,-1
201,0.05,0.9,0,0
202,0.05,0.9,0,0
203,0.05,0.9,1,1
204,0.05,0.9,0,0
205,0.05,0.9,-1,-1
206,0.05,0.9,0,0
207,0.05,0.9,-1,-1
208,0.05,0.9,-1,-1
209,0.05,0.9,-1,-1
210,0.05,0.9,-1,-1
211,0.05,0.9,0,0
212,0.05,0.9,1,1
213,0.05,0.9,0,0
214,0.05,0.9,1,1
215,0.05,0.9,0,0
216,0.05,0.9,0,0
217,0.05,0.9,-1,-1
218,0.05,0.9,0,0
219,0.05,0.9,1,1
220,0.05,0.9,-1,-1
221,0.05,0.9,1,1
222,0.05,0.9,1,1
223,0.05,0.9,0,0
224,0.05,0.9,-1,-1
225,0.05,0.9,0,0
226,0.05,0.9,1,1
227,0.05,0.9,-1,-1
228,0.05,0.9,1,1
229,0.05,0.9,-1,-1
230,0.05,0.9,0,0
231,0.05,0.9,-1,-1
232,0.05,0.9,0,0
233,0.05,0.9,0,0
234,0.05,0.9,0,0
235,0.05,0.9,0,0
236,0.05,0.9,0,0
237,0.05,0.9,-1,-1
238,0.05,0.9,0,0
239,0.05,0.9,-1,-1
240,0.05,0.9,0,0
241,0.05,0.9,-1,-1
242,0.05,0.9,-1,-1
243,0.05,0.9,1,1
244,0.05,0.9,1,1
245,0.05,0.9,1,1
246,0.05,0.9,1,1
247,0.05,0.9,1,1
248,0.05,0.9,0,0
249,0.05,0.9,1,1
250,0.05,0.9,1,0
251,0.05,0.9,1,1
252,0.05,0.9,1,1
253,0.05,0.9,-1,-1
254,0.05,0.9,1,1
255,0.05,0.9,1,1
256,0.05,0.9,1,1
257,0.05,0.9,1,0
258,0.05,0.9,0,0
259,0.05,0.9,1,1
260,0.05,0.9,1,1
261,0.05,0.9,0,0
262,0.05,0.9,0,0
263,0.05,0.9,1,1
264,0.05,0.9,1,1
265,0.05,0.9,1,1
266,0.05,0.9,1,1
267,0.05,0.9,1,1
268,0.05,0.9,1,0
269,0.05,0.9,1,1
270,0.05,0.9,1,1
271,0.05,0.9,1,1
272,0.05,0.9,0,0
273,0.05,0.9,0,0
274,0.05,0.9,-1,-1
275,0.05,0.9,1,1
276,0.85,0.05,1,0
277,0.85,0.05,-1,-1
278,0.85,0.05,1,0
279,0.85,0.05,1,0
280,0.85,0.05,1,0
281,0.85,0.05,0,1
282,0.85,0.05,1,0
283,0.85,0.05,-1,-1
284,0.85,0.05,0,1
285,0.85,0.05,1,0
286,0.85,0.05,-1,-1
287,0.85,0.05,1,0
288,0.85,0.05,-1,-1
289,0.85,0.05,-1,-1
290,0.85,0.05,-1,-1
291,0.85,0.05,1,0
292,0.85,0.05,1,0
293,0.85,0.05,1,0
294,0.85,0.05,1,0
295,0.85,0.05,-1,-1
296,0.85,0.05,1,0
297,0.85,0.05,1,0
298,0.85,0.05,0,1
299,0.85,0.05,0,1
300,0.85,0.05,0,1
301,0.85,0.05,-1,-1
302,0.85,0.05,-1,-1
303,0.85,0.05,1,0
304,0.85,0.05,1,0
305,0.85,0.05,-1,-1
306,0.85,0.05,1,0
307,0.85,0.05,-1,-1
308,0.85,0.05,-1,-1
309,0.85,0.05,1,0
310,0.85,0.05,1,0
311,0.85,0.05,-1,-1
312,0.85,0.05,-1,-1
313,0.85,0.05,-1,-1
314,0.85,0.05,-1,-1
315,0.85,0.05,0,1
316,0.85,0.05,0,1
317,0.85,0.05,1,1
318,0.85,0.05,0,1
319,0.85,0.05,-1,-1
320,0.85,0.05,0,0
321,0.85,0.05,0,1
322,0.85,0.05,1,0
323,0.85,0.05,0,1
324,0.85,0.05,1,0
325,0.85,0.05,-1,-1
326,0.85,0.05,-1,-1
327,0.85,0.05,-1,-1
328,0.85,0.05,0,1
329,0.85,0.05,1,0
330,0.85,0.05,-1,-1
331,0.85,0.05,-1,-1
332,0.85,0.05,1,0
333,0.85,0.05,0,1
334,0.85,0.05,1,0
335,0.85,0.05,-1,-1
336,0.85,0.05,-1,-1
337,0.85,0.05,-1,-1
338,0.85,0.05,1,0
339,0.85,0.05,0,0
340,0.85,0.05,-1,-1
341,0.85,0.05,-1,-1
342,0.85,0.05,-1,-1
343,0.85,0.05,1,0
344,0.85,0.05,-1,-1
345,0.85,0.05,-1,-1
346,0.85,0.05,1,0
347,0.85,0.05,1,0
348,0.85,0.05,0,1
349,0.85,0.05,1,0
350,0.85,0.05,-1,-1
351,0.85,0.05,0,0
352,0.85,0.05,-1,-1
353,0.85,0.05,1,0
354,0.85,0.05,-1,-1
355,0.85,0.05,1,0
356,0.85,0.05,-1,-1
357,0.85,0.05,-1,-1
358,0.85,0.05,-1,-1
359,0.85,0.05,1,1
360,0.85,0.05,-1,-1
361,0.85,0.05,-1,-1
362,0.85,0.05,1,0
363,0.85,0.05,-1,-1
364,0.85,0.05,1,0
365,0.85,0.05,-1,-1
366,0.85,0.05,1,0
367,0.85,0.05,-1,-1
368,0.85,0.05,-1,-1
369,0.85,0.05,-1,-1
370,0.85,0.05,-1,-1
371,0.85,0.05,1,0
372,0.85,0.05,-1,-1
373,0.85,0.05,1,0
374,0.85,0.05,-1,-1
375,0.85,0.05,-1,-1
376,0.85,0.05,1,0
377,0.85,0.05,1,0
378,0.85,0.05,0,1
379,0.85,0.05,1,0
380,0.85,0.05,-1,-1
381,0.85,0.05,1,0
382,0.85,0.05,-1,-1
383,0.85,0.05,1,0
384,0.85,0.05,1,0
385,0.85,0.05,-1,-1
386,0.85,0.05,-1,-1
387,0.85,0.05,-1,-1
388,0.85,0.05,1,0
389,0.85,0.05,1,0
390,0.85,0.05,1,0
391,0.85,0.05,1,0
392,0.85,0.05,-1,-1
393,0.85,0.05,-1,-1
394,0.85,0.05,1,0
395,0.85,0.05,1,0
396,0.85,0.05,-1,-1
397,0.85,0.05,-1,-1
398,0.85,0.05,1,1
399,0.85,0.05,-1,-1
400,0.85,0.05,-1,-1
401,0.85,0.05,-1,-1
402,0.85,0.05,-1,-1
403,0.85,0.05,1,0
404,0.85,0.05,-1,-1
405,0.85,0.05,1,0
406,0.85,0.05,1,0
407,0.85,0.05,-1,-1
408,0.85,0.05,-1,-1
409,0.85,0.05,1,0
410,0.85,0.05,-1,-1
411,0.85,0.05,1,0
412,0.85,0.05,-1,-1
413,0.85,0.05,1,0
